img_name,image
Asian Elephant (1).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (1).jpg
Asian Elephant (10).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (10).jpg
Asian Elephant (100).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (100).jpg
Asian Elephant (101).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (101).jpg
Asian Elephant (102).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (102).jpg
Asian Elephant (103).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (103).jpg
Asian Elephant (104).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (104).jpg
Asian Elephant (105).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (105).jpg
Asian Elephant (106).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (106).jpg
Asian Elephant (107).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (107).jpg
Asian Elephant (108).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (108).jpg
Asian Elephant (109).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (109).jpg
Asian Elephant (11).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (11).jpg
Asian Elephant (111).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (111).jpg
Asian Elephant (112).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (112).jpg
Asian Elephant (113).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (113).jpg
Asian Elephant (114).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (114).jpg
Asian Elephant (115).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (115).jpg
Asian Elephant (116).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (116).jpg
Asian Elephant (118).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (118).jpg
Asian Elephant (119).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (119).jpg
Asian Elephant (12).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (12).jpg
Asian Elephant (120).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (120).jpg
Asian Elephant (121).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (121).jpg
Asian Elephant (122).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (122).jpg
Asian Elephant (123).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (123).jpg
Asian Elephant (124).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (124).jpg
Asian Elephant (125).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (125).jpg
Asian Elephant (126).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (126).jpg
Asian Elephant (127).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (127).jpg
Asian Elephant (129).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (129).jpg
Asian Elephant (13).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (13).jpg
Asian Elephant (130).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (130).jpg
Asian Elephant (131).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (131).jpg
Asian Elephant (132).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (132).jpg
Asian Elephant (133).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (133).jpg
Asian Elephant (134).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (134).jpg
Asian Elephant (135).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (135).jpg
Asian Elephant (136).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (136).jpg
Asian Elephant (137).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (137).jpg
Asian Elephant (139).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (139).jpg
Asian Elephant (14).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (14).jpg
Asian Elephant (140).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (140).jpg
Asian Elephant (15).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (15).jpg
Asian Elephant (16).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (16).jpg
Asian Elephant (17).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (17).jpg
Asian Elephant (18).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (18).jpg
Asian Elephant (19).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (19).jpg
Asian Elephant (20).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (20).jpg
Asian Elephant (21).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (21).jpg
Asian Elephant (22).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (22).jpg
Asian Elephant (24).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (24).jpg
Asian Elephant (25).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (25).jpg
Asian Elephant (26).jpg,c:\Users\adoni\Desktop\CBIR-proyect\images\train\Asian Elephant (26).jpg
